Input,output,result,0=符合語境
尿尿超痛= = 是尿道炎ㄇ，過年期間怎麼就醫,我想你心裡多少也有些想法吧 ,0,
AI已經會煮拉麵了，人類要滅亡了,你這話是認真的嗎 ,0,
過年時候我要回去我老婆gidle Minnie泰國老家 吃年夜飯,那...那我呢 ,0,
這公司有我喜歡的人[4],那真是可喜可賀 ,0,
幫我安太歲燈,我哪有可能有辦法 ,0,
館長直播讓Ai寫企劃案 結果六秒完成,真的很莫名其妙 ,0,
現在重回日語的懷抱...還來得及嗎？,一旦加入就無法回頭了喔 ,0,
場外真的有女巴友ㄇ,難道你是第一次來嗎 ,0,
哭啊我喜歡的遊戲居然有參加電玩展,我也很想去喔 ,0,
回文抽室友 一起,這樣很沒有教養喔 ,0,
訂購超值方案免費獲得,運氣真好 ,0,
原來當初那些美國清教徒的教會，現在演變成會掛彩虹旗、允許同性結婚的進步派教會,一丘之貂 ,0,
六月花嫁月，每天貼一個婚紗本,等一下妳是認真的嗎 ,0,
旦亞造葡萄,你說什麼 ,0,
萬秀豬王的地位有多高,我想你心裡多少也有些想法吧 ,0,
紅包領到4000該買什麽,我考慮一下吧 ,0,
嘻嘻 明天就能傳這張給交接的人了,太好了 ,0,
勸世文，關於我買刮刮樂，在2年內輸掉百萬存款的經歷,有點不太能想像呢 ,0,
中國多地工人「跳樓討薪」 沒錢過年還遭行政拘留,真的很莫名其妙 ,0,
在低卡滑了幾個分,你在幹嘛阿 ,0,
有沒有人跟我一樣有捷運閘門恐懼症,妳到底想幹嘛 ,1,
可不可以給我更多腋下ԅ(¯﹃¯ԅ),不要這樣 ,0,
每條大街小小，每個人的嘴裏，見面第一句話就是,那是歌詞嗎 ,0,
剛看人開箱5090公版的顯卡,真的毫無品味 ,1,
中國能不能有點創新？,一丘之貂 ,0,
霸主怎不找爸爸要錢,你這話是認真的嗎 ,0,
初華家的閣樓,我家裡有 ,1,
篠澤広是最適合家暴的學園偶像嗎？,沒有這回事啦 ,0,
蘇聯共產黨跟中國共產黨 以及越南共產黨 台灣特有的綠蟾黨  哪個比較偉大?,一丘之貂 ,0,
假如台灣可以放寒流假,動機太不單純了 ,0,
這是哪個平行世界,你不記得了嗎 ,0,
安心亞的跨年依然這麼有誠意..,要不要過去看看 ,0,
新年第一天來放點紅色的東西,妳到底想幹嘛 ,1,
祖國春晚強逼機械人勞動，該怎樣噴?,滿腦子都只想到自己呢 ,0,
網友指控過四叉貓曾想約炮14歲小男生四叉貓親自出面回應約出來24歲被詐騙,有點不太能想像呢 ,0,
柚子廚的春聯是這樣的,不錯吧 ,0,
DeepSeek的超低耗電量會導致綠電崛起變成主流ㄇ,或許也不是真的不可能吧 ,0,
"除夕過了,紅包領多少??",我考慮一下吧 ,1,
每人來幾張讓心靈平靜、正能量的美圖(因DC圖庫爆了，請從後面看回來),這個不用了 ,0,
LG盃爭議一幕！柯潔連續違規 直接判負,歐買尬爹斯 ,0,
阿嬤妳法袍下面怎麼穿成這樣？,不知道 ,0,
大便三峽老街,妳到底想幹嘛 ,0,
這樣肇事責任怎算？,不知道 ,0,
川普的驅趕非法移民政策 真的實施了,你這話是認真的嗎 ,0,
手癢買了20張500塊刮刮樂,那...那我呢 ,0,
初一要幹麻,我想你心裡多少也有些想法吧 ,0,
好想認識胸部大的女生,不要這樣 ,0,
抓到 辱華！,態度好差喔 ,1,
神魔之塔都是誰在玩啊？,這問題問得好 ,0,
每天的emo語錄,我也一樣 ,1,
昨夜和友人去野外打炮,你怎麼不找我們去 ,0,
美國能不能選個年輕大奶總統？,或許也不是真的不可能吧 ,0,
年後要開始租房了,我會為你加油的 ,0,
脆  中國的老人免費搭地鐵,動機太不單純了 ,1,
大年初一的早上就是要起床社經！,我會為你加油的 ,0,
女高中生遭劫持,不要這樣 ,0,
蓋一座聖亞樓,等一下妳是認真的嗎 ,0,
發財是靠買彩卷或是刮刮樂嗎？,或許也不是真的不可能吧 ,0,
看樣子有人很急著出門,因為我很想要嘛 ,0,
唐鳳其實也沒有輸中國天才少女太多吧,一丘之貂 ,0,
脆 中國打鐵花引起大火,真的很莫名其妙 ,0,
天才遇到超級天才 也只能無奈吧？,人類真是殘酷 ,0,
有沒有跟主角是同伴的角色的真面目其實是最終大魔王的劇情啊？,不可能吧 ,0,
看女生打球忍不住！巴西男大生集體「公然猥褻」　全被退學,這樣很沒有教養喔 ,0,
為什麼微疼這麼生氣？,你誤會了 ,0,
接下來哪個場外大咪咪要當我的對手,妳到底想幹嘛 ,0,
為什麼我從來都沒發現過,不知道 ,0,
來po出你所知道有關（聖字）的人事物,怎麼這麼問 ,0,
巴哈太多文轉載低卡的了吧,一丘之貂 ,0,
假如90%人都移民出去,或許也不是真的不可能吧 ,0,
有人知道這是什麼高梁酒？,味道純香，我很喜歡 ,0,
《2025年》半夜4點還醒著又進來留言的 今年一定有桃花女生喜歡上你,有點不太能想像呢 ,0,
大人：喂 吃飯不准說髒話 你這個小王八羔子,所以我才受不了大人 ,0,
決鬥吧 不動遊星野,那是歌詞嗎 ,0,
一早騎車就遇到一個女的在亂小,滿腦子都只想到自己呢 ,0,
其實人生好短阿,原來妳是這麼想的呀 ,0,
我是三屆空手道冠軍,已經算是跨出一大步了喔 ,1,
祝大家新年快樂，霸主年夜飯吃什麼？,我考慮一下吧 ,0,
爐石鑽1上傳說 打了5小時,我也很想去喔 ,1,
殭屍末日要選什麼角色 才能活下去,這問題問得好 ,0,
葉玫瑰被說長的像茶葉蛋,有點不太能想像呢 ,0,
霸主領年終後馬上課金，不是說不再課了嗎？已經沈迷了na,是啊，到底為什麼呢 ,0,
昨晚夢到被玫瑰壓住害我一大早就醒了，嚇的我屁滾尿流濕了魂,真的很莫名其妙 ,0,
為啥過年就一定要換新鈔,是啊，到底為什麼呢 ,0,
色情男娘圖鑑,妳到底想幹嘛 ,0,
蛤 全國巡迴還可以像這樣就停就停的哦,那我也要 ,1,
雖然已經過氣了，但有沒有人想問跟槍彈辯駁有關的問題?(更新新作主角、遊戲介紹),看完了 ,0,
什麼是守歲爐,妳到底想幹嘛 ,1,
最近網路一堆爆爆珠廣告,真不愧是人氣寵兒 ,0,
詩超絆越聽越喜歡,因為春日影是一首好歌 ,1,
有哪些女角有讓你達到傾國傾城的等級,這問題問得好 ,0,
怎麼一堆女的在IG跟脆上發自己帳戶,是啊，到底為什麼呢 ,0,
遊星野 接下來就由我們聖三一黃昏隊來做你的對手,這個不用了 ,0,
阿菊在場外484天使一般的存在R,你說什麼 ,0,
剛到公司就好想回家ㄛ,我也一樣 ,0,
那些高傲自負的女角只要能攻略她 就會贏,我是因為要利用她才表現得很溫柔 ,0,
站起來 小鳥遊星,你說什麼 ,0,
中國AI DeepSeek標榜「低成本」 業界懷疑有貓膩,歐買尬爹斯 ,0,
對著麥克風大叫的聖婭真的好可愛,好可愛喔 ,0,
早上起來刷刷牙,你要不要先去洗澡 ,0,
來蓋個無限暖暖大樓,不行 ,0,
日本風俗店慘遭visa制裁,祝你幸福 ,0,
淺談數學小圈圈是如何傷害3D動畫師(254f擴向AI科技邏輯）,坦白說我都聽得一頭霧水 ,0,
過年收到ㄌ阿姨的6000+阿嬤ㄉ3600,運氣真好 ,0,
粉瘤微創手術多少錢? 用健保刀省錢好嗎?,我考慮一下吧 ,0,
隻狼其實沒想像中困難,原來妳是這麼想的呀 ,0,
抽後放回只抽一次跟抽兩次的中獎機率一樣嗎,不知道 ,0,
原來大陸也聽告五人,有點不太能想像呢 ,0,
房子遭高速公路包圍！陸最強釘子戶拒7百萬賠償費後悔了,真的很莫名其妙 ,0,
100次感動跟1次心動 你們會喜歡哪個,怎麼這麼問 ,0,
小時候手淫的爽感為什麼比較特別,這問題問得好 ,0,
我想蹺掉太子妃培訓[4],等一下妳是認真的嗎 ,0,
在場外不小心看了湯婆婆內衣照  現在需要發點養眼的自救,你在幹嘛阿 ,0,
百聽不厭的歌?,因為春日影是一首好歌 ,0,
,258,86,
,42,14,
